Agency,Docket,Comments,Any Resources Measure,Percent,FDIC Assets,501c3 Assets,Assets (Credit Unions),501c3 Revenue,Market Cap,marketcap2,MeanLobbyingAmount,TotalLobbyingAmount,Campaign Donations,TotalContribAmount,MeanContribAmountPerYearContributed
OCC,OCC-2012-0009-,1816,1391,77%,1095,851,75,851,193,193,618,618,618,618,618
OCC,OCC-2012-0010-,1352,1060,78%,909,584,59,584,148,148,473,473,473,473,473
OCC,OCC-2012-0013-,26,20,77%,11,18,0,18,8,8,17,17,17,17,17
OCC,OCC-2013-0008-,21,12,57%,3,11,0,11,1,1,8,8,8,8,8
OCC,OCC-2013-0009-,9,5,56%,0,5,0,5,0,0,5,5,5,5,5
OCC,OCC-2013-0010-,171,92,54%,13,81,1,81,9,9,89,89,89,89,89
OCC,OCC-2013-0014-,75,56,75%,22,44,0,44,5,5,30,30,30,30,30
OCC,OCC-2013-0016-,126,72,57%,29,59,2,59,23,23,81,81,81,81,81
OCC,OCC-2014-0002-,44,17,39%,0,17,0,17,0,0,11,11,11,11,11
OCC,OCC-2014-0003-,5,4,80%,2,2,0,2,0,0,3,3,3,3,3
OCC,OCC-2014-0007-,1,1,100%,0,1,0,1,0,0,1,1,1,1,1
OCC,OCC-2014-0008-,11,7,64%,2,7,0,7,2,2,5,5,5,5,5
OCC,OCC-2014-0009-,2,1,50%,0,1,0,1,0,0,1,1,1,1,1
OCC,OCC-2014-0012-,2,2,100%,1,1,0,1,0,0,2,2,2,2,2
OCC,OCC-2014-0015-,4,2,50%,1,2,0,2,1,1,2,2,2,2,2
OCC,OCC-2014-0029-,23,10,43%,4,6,0,6,5,5,10,10,10,10,10
OCC,OCC-2015-0021-,2,2,100%,1,2,0,2,0,0,1,1,1,1,1
OCC,OCC-2016-0016-,32,8,25%,0,6,0,6,2,2,7,7,7,7,7
SEC,S7-01-15,24,13,54%,0,13,0,13,0,0,9,9,9,9,9
SEC,S7-02-11,7,2,29%,0,2,0,2,0,0,1,1,1,1,1
SEC,S7-02-12,16,8,50%,0,8,0,8,1,1,3,3,3,3,3
SEC,S7-02-13,27,11,41%,0,11,0,11,0,0,8,8,8,8,8
SEC,S7-03-11,4,2,50%,0,2,0,2,0,0,0,0,0,0,0
SEC,S7-03-13,219,98,45%,2,97,0,97,0,0,39,39,39,39,39
SEC,S7-03-15,15,5,33%,1,4,0,4,1,1,2,2,2,2,2
SEC,S7-04-11,36,15,42%,0,15,0,15,0,0,9,9,9,9,9
SEC,S7-05-11,29,8,28%,0,8,0,8,0,0,8,8,8,8,8
SEC,S7-05-14,14,2,14%,0,2,0,2,0,0,2,2,2,2,2
SEC,S7-06-11,45,22,49%,0,22,0,22,0,0,11,11,11,11,11
SEC,S7-06-13,480,116,24%,1,116,0,116,0,0,48,48,48,48,48
SEC,S7-06-15,14,7,50%,0,7,0,7,0,0,5,5,5,5,5
SEC,S7-07-11,35,16,46%,0,16,0,16,0,0,5,5,5,5,5
SEC,S7-07-13,1283,217,17%,8,212,2,212,4,4,79,79,79,79,79
SEC,S7-07-15,66,25,38%,1,24,0,24,0,0,12,12,12,12,12
SEC,S7-08-10,250,88,35%,0,88,0,88,0,0,50,50,50,50,50
SEC,S7-08-11,27,12,44%,0,12,0,12,0,0,6,6,6,6,6
SEC,S7-08-12,184,84,46%,0,84,0,84,0,0,34,34,34,34,34
SEC,S7-09-14,4,2,50%,0,2,0,2,0,0,1,1,1,1,1
SEC,S7-09-15,41,8,20%,0,8,0,8,0,0,6,6,6,6,6
SEC,S7-10-11,3,3,100%,0,3,0,3,0,0,1,1,1,1,1
SEC,S7-11-11,14,7,50%,0,7,0,7,0,0,2,2,2,2,2
SEC,S7-12-10,96,40,42%,1,40,0,40,1,1,12,12,12,12,12
SEC,S7-12-11,625,119,19%,6,117,3,117,3,3,33,33,33,33,33
SEC,S7-12-15,57,26,46%,0,26,0,26,0,0,19,19,19,19,19
SEC,S7-13-11,49,18,37%,0,18,0,18,0,0,9,9,9,9,9
SEC,S7-14-11,405,178,44%,1,178,0,178,0,0,109,109,109,109,109
SEC,S7-14-15,6,5,83%,0,5,0,5,0,0,1,1,1,1,1
SEC,S7-15-11,12,10,83%,0,10,0,10,0,0,4,4,4,4,4
SEC,S7-15-15,4,1,25%,0,1,0,1,0,0,1,1,1,1,1
SEC,S7-16-11,41,23,56%,0,23,0,23,0,0,10,10,10,10,10
SEC,S7-17-11,40,13,32%,0,13,0,13,0,0,4,4,4,4,4
SEC,S7-18-08,104,24,23%,0,24,0,24,0,0,35,35,35,35,35
SEC,S7-18-11,59,24,41%,0,24,0,24,0,0,9,9,9,9,9
SEC,S7-19-10,7,3,43%,0,3,0,3,0,0,2,2,2,2,2
SEC,S7-21-11,37,18,49%,0,18,0,18,0,0,6,6,6,6,6
SEC,S7-22-11,6,3,50%,0,3,0,3,0,0,1,1,1,1,1
SEC,S7-23-07,42,25,60%,1,25,0,25,0,0,11,11,11,11,11
SEC,S7-23-11,26,11,42%,0,11,0,11,0,0,6,6,6,6,6
SEC,S7-24-10,36,22,61%,0,22,0,22,0,0,8,8,8,8,8
SEC,S7-25-10,73,32,44%,1,32,0,32,0,0,30,30,30,30,30
SEC,S7-25-11,42,20,48%,0,20,0,20,0,0,6,6,6,6,6
SEC,S7-26-10,52,24,46%,1,23,0,23,1,1,14,14,14,14,14
SEC,S7-26-11,4,2,50%,0,2,0,2,0,0,0,0,0,0,0
SEC,S7-27-10,72,24,33%,0,24,0,24,0,0,17,17,17,17,17
